results,reviews,rating,service,countyState,fips
50,239,4.89,arts,"Humboldt County, CA",6023
50,184,4.88,arts,"Person County, NC",37145
50,81,4.88,arts,"Hopkins County, KY",21107
50,81,4.88,arts,"Muhlenberg County, KY",21177
4,9,4.88,arts,"Big Horn County, WY",56003
50,208,4.87,arts,"Richland County, SC",45079
50,197,4.87,arts,"Deschutes County, OR",41017
50,144,4.87,arts,"Pender County, NC",37141
50,324,4.85,arts,"Sarpy County, NE",31153
50,196,4.85,arts,"Horry County, SC",45051
50,166,4.85,arts,"Cass County, MI",26027
50,675,4.84,arts,"Hunterdon County, NJ",34019
50,236,4.84,arts,"Trinity County, CA",6105
50,960,4.83,arts,"Passaic County, NJ",34031
50,452,4.83,arts,"Mills County, IA",19129
50,383,4.83,arts,"Tuolumne County, CA",6109
50,267,4.83,arts,"Collier County, FL",12021
50,265,4.83,arts,"York County, VA",51199
50,215,4.83,arts,"Dallas County, IA",19049
50,167,4.83,arts,"Blount County, TN",47009
6,46,4.83,arts,"Washakie County, WY",56043
3,21,4.83,arts,"Grant County, OR",41023
3,15,4.83,arts,"Brown County, SD",46013
3,15,4.83,arts,"Shannon County, SD",46102
50,496,4.82,arts,"Stanislaus County, CA",6099
50,445,4.82,arts,"Fresno County, CA",6019
50,398,4.82,arts,"Spencer County, KY",21215
50,360,4.82,arts,"Harrison County, IA",19085
50,345,4.82,arts,"Plymouth County, MA",25023
50,332,4.82,arts,"Henderson County, NC",37089
50,326,4.82,arts,"Worcester County, MA",25027
50,321,4.82,arts,"Jasper County, IN",18073
50,317,4.82,arts,"Douglas County, NE",31055
50,297,4.82,arts,"Washington County, NE",31177
50,296,4.82,arts,"Hillsborough County, NH",33011
50,233,4.82,arts,"El Paso County, CO",8041
50,218,4.82,arts,"Garza County, TX",48169
50,166,4.82,arts,"Martin County, FL",12085
50,85,4.82,arts,"Webster County, KY",21233
50,597,4.81,arts,"Morris County, NJ",34027
50,231,4.81,arts,"Lubbock County, TX",48303
50,221,4.81,arts,"Monroe County, IN",18105
50,219,4.81,arts,"Crosby County, TX",48107
50,206,4.81,arts,"Knox County, TN",47093
50,125,4.81,arts,"Cherokee County, TX",48073
50,1002,4.8,arts,"Oakland County, MI",26125
50,732,4.8,arts,"Washington County, MN",27163
50,624,4.8,arts,"Ulster County, NY",36111
50,562,4.8,arts,"San Joaquin County, CA",6077
50,425,4.8,arts,"Waller County, TX",48473
