results,reviews,rating,service,countyState,fips
11,315,4.59,Bars,"Keith County, NE",31101
11,319,4.59,Bars,"Arthur County, NE",31005
12,320,4.54,Bars,"Perkins County, NE",31135
2,19,4.5,Bars,"Hamilton County, KS",20075
2,74,4.5,Bars,"Todd County, SD",46121
3,10,4.5,Bars,"McCone County, MT",30055
3,21,4.5,Bars,"Stanton County, KS",20187
3,78,4.5,Bars,"Cherry County, NE",31031
5,86,4.5,Bars,"Clark County, ID",16033
7,151,4.5,Bars,"Lyon County, KY",21143
8,15,4.5,Bars,"Sargent County, ND",38081
50,366,4.5,Bars,"Florence County, WI",55037
9,62,4.44,Bars,"Dawes County, NE",31045
7,39,4.43,Bars,"Liberty County, MT",30051
12,338,4.42,Bars,"Chase County, NE",31029
50,3611,4.41,Bars,"Milwaukee County, WI",55079
10,50,4.4,Bars,"Crisp County, GA",13081
50,372,4.4,Bars,"Iron County, WI",55051
50,389,4.4,Bars,"Dickinson County, MI",26043
50,720,4.4,Bars,"Austin County, TX",48015
50,849,4.4,Bars,"Colorado County, TX",48089
50,2294,4.4,Bars,"Franklin County, NC",37069
50,2585,4.4,Bars,"Blanco County, TX",48031
50,5655,4.4,Bars,"Buncombe County, NC",37021
9,52,4.39,Bars,"Gregory County, SD",46053
9,54,4.39,Bars,"Garfield County, NE",31071
50,7153,4.39,Bars,"Travis County, TX",48453
50,7306,4.39,Bars,"Queens County, NY",36081
4,43,4.38,Bars,"Lake County, OR",41037
50,442,4.37,Bars,"Jones County, IA",19105
50,838,4.37,Bars,"St. Martin Parish, LA",22099
50,4141,4.37,Bars,"Harris County, TX",48201
7,26,4.36,Bars,"Roger Mills County, OK",40129
50,384,4.36,Bars,"Iron County, MI",26071
50,574,4.36,Bars,"Mercer County, IL",17131
50,2655,4.36,Bars,"Vance County, NC",37181
50,2878,4.36,Bars,"Madison County, NC",37115
50,7158,4.36,Bars,"Chatham County, GA",13051
50,578,4.35,Bars,"Gogebic County, MI",26053
50,1074,4.35,Bars,"Christian County, IL",17021
50,1451,4.35,Bars,"Rutherford County, NC",37161
50,7409,4.35,Bars,"Kings County, NY",36047
50,841,4.34,Bars,"Lafayette County, WI",55065
50,1198,4.34,Bars,"Fayette County, TX",48149
50,1203,4.34,Bars,"Benewah County, ID",16009
