results,reviews,rating,service,countyState,state,fips
50,190,0.03,education,Boulder County, CO,8013
9,51,0.43,education,Kossuth County, IA,19109
12,58,0.36,education,Humboldt County, IA,19091
4,23,0,education,Quay County, NM,35037
4,23,0,education,Decatur County, IA,19053
5,100,0.18,education,Grand County, UT,49019
50,253,0.03,education,Clackamas County, OR,41005
50,81,0.03,education,Robertson County, TX,48395
50,268,0.02,education,Multnomah County, OR,41051
50,422,0.05,education,Cuyahoga County, OH,39035
50,495,-0.01,education,San Diego County, CA,6073
50,590,0.09,education,New York County, NY,36061
10,27,0.35,education,Iron County, MI,26071
50,182,0,education,Marion County, OR,41047
50,325,0.01,education,Sonoma County, CA,6097
50,83,0.02,education,Burleson County, TX,48051
50,152,0,education,Middlesex County, MA,25017
50,172,0.03,education,Walker County, TX,48471
50,129,-0.02,education,Crawford County, IN,18025
50,175,-0.04,education,Pinellas County, FL,12103
3,20,0,education,Harding County, NM,35021
12,64,-0.05,education,Sunflower County, MS,28133
50,108,0.03,education,Grimes County, TX,48185
50,114,-0.06,education,Richmond County, VA,51159
50,207,0.36,education,Gilmer County, GA,13123
50,255,0.11,education,Gilpin County, CO,8047
50,129,0.04,education,Karnes County, TX,48255
50,132,0.09,education,Duval County, FL,12031
50,151,0.07,education,Smith County, TN,47159
50,169,0.09,education,Oklahoma County, OK,40109
50,180,0.03,education,Davidson County, TN,47037
50,289,0.09,education,St. Bernard Parish, LA,22087
50,395,-0.08,education,Santa Clara County, CA,6085
9,26,-0.02,education,Brookings County, SD,46011
50,128,0.03,education,Chester County, PA,42029
50,162,0,education,Baltimore, MD,24510
50,136,0.11,education,Wilson County, TX,48493
50,161,-0.09,education,Wake County, NC,37183
50,401,0.03,education,Santa Barbara County, CA,6083
50,599,-0.05,education,Orange County, CA,6059
50,584,-0.05,education,Santa Cruz County, CA,6087
8,37,0.55,education,Colfax County, NM,35007
50,219,0.07,education,Monroe County, NY,36055
50,297,0.06,education,Montgomery County, MD,24031
50,277,0.05,education,Blanco County, TX,48031
50,260,0.03,education,Tillamook County, OR,41057
50,260,0.02,education,King County, WA,53033
50,427,0.12,education,Lee County, TX,48287
11,29,0.24,education,Archuleta County, CO,8007
9,96,0.23,education,Gilliam County, OR,41021
50,103,0.03,education,Madison County, TX,48313
50,136,-0.07,education,Williamson County, TN,47187
50,194,0.01,education,Cobb County, GA,13067
50,132,-0.07,education,Loudoun County, VA,51107
50,199,-0.07,education,Fort Bend County, TX,48157
50,271,-0.04,education,Skamania County, WA,53059
50,434,0.09,education,Philadelphia County, PA,42101
50,355,0.02,education,Yolo County, CA,6113
10,54,-0.02,education,Morrow County, OR,41049
15,43,0.35,education,Gogebic County, MI,26053
50,144,0.06,education,Sandoval County, NM,35043
50,182,0.05,education,Comal County, TX,48091
50,150,0.1,education,Baker County, FL,12003
50,167,0.01,education,Jefferson County, KY,21111
50,313,0.05,education,Orleans Parish, LA,22071
50,183,-0.07,education,Prince William County, VA,51153
50,208,-0.04,education,Jefferson County, CO,8059
50,253,0.08,education,Livingston County, NY,36051
50,274,0.11,education,Snohomish County, WA,53061
50,295,0.07,education,Washtenaw County, MI,26161
50,435,0.02,education,Marin County, CA,6041
50,526,0,education,Ventura County, CA,6111
50,100,0.05,education,Giles County, TN,47055
50,117,-0.04,education,Washington County, TX,48477
50,127,0.08,education,Lincoln County, TN,47103
50,228,-0.06,education,Elbert County, CO,8039
50,221,0.07,education,Buncombe County, NC,37021
50,119,-0.12,education,Richmond, VA,51760
50,232,0.04,education,Will County, IL,17197
50,217,-0.02,education,Bexar County, TX,48029
50,414,0.21,education,Burnet County, TX,48053
50,490,0.02,education,Hudson County, NJ,34017
50,122,0.02,education,Brazos County, TX,48041
50,122,0.05,education,Henrico County, VA,51087
50,182,0.14,education,Yancey County, NC,37199
50,269,0.05,education,Hood River County, OR,41027
50,276,0.12,education,Putnam County, FL,12107
50,305,0.09,education,Prince George's County, MD,24033
50,384,-0.02,education,Alpine County, CA,6003
50,475,0.04,education,San Mateo County, CA,6081
7,14,-0.04,education,Kingsbury County, SD,46077
2,17,0,education,Donley County, TX,48129
11,37,0.43,education,Lassen County, CA,6035
3,38,-0.08,education,Hot Springs County, WY,56017
3,38,-0.08,education,Washakie County, WY,56043
2,62,0,education,Big Horn County, MT,30003
19,55,0.28,education,Vilas County, WI,55125
15,105,-0.02,education,Staunton, VA,51790
50,117,0.02,education,Henry County, KY,21103
50,127,0.06,education,Franklin County, MO,29071
50,114,-0.07,education,Clark County, IN,18019
50,94,-0.09,education,Hennepin County, MN,27053
50,161,0.02,education,Montgomery County, PA,42091
50,198,0.06,education,Bandera County, TX,48019
50,147,-0.07,education,Boise County, ID,16015
50,195,0.02,education,DeKalb County, GA,13089
50,164,0.11,education,Erie County, NY,36029
50,240,-0.04,education,Lane County, OR,41039
50,225,0.15,education,Providence County, RI,44007
50,359,0.07,education,Dallas County, TX,48113
50,292,-0.03,education,Morgan County, UT,49029
50,206,-0.02,education,Essex County, NJ,34013
50,689,0,education,Kauai County, HI,15007
50,127,-0.06,education,Washington County, IN,18175
50,115,-0.05,education,Shelby County, KY,21211
50,127,0.11,education,Kingfisher County, OK,40073
50,162,-0.06,education,Wilson County, TN,47189
50,152,-0.01,education,Gadsden County, FL,12039
50,161,0.03,education,Douglas County, NE,31055
50,185,-0.04,education,Yamhill County, OR,41071
50,206,0.05,education,Amador County, CA,6005
50,198,-0.1,education,Placer County, CA,6061
50,232,0.09,education,Wyoming County, NY,36121
50,235,0.13,education,Hays County, TX,48209
50,244,-0.02,education,Harris County, TX,48201
50,534,0.09,education,Travis County, TX,48453
50,752,-0.01,education,Los Angeles County, CA,6037
50,118,0.08,education,Nelson County, KY,21179
50,134,0.07,education,Macon County, TN,47111
50,143,-0.04,education,Baltimore County, MD,24005
50,154,0.04,education,Madison County, NC,37115
50,170,0,education,Monmouth County, NJ,34025
50,197,0.01,education,Gonzales County, TX,48177
50,202,-0.04,education,Charleston County, SC,45019
50,321,-0.02,education,Alexandria, VA,51510
50,915,0,education,Alameda County, CA,6001
50,875,-0.03,education,San Francisco County, CA,6075
