results,reviews,rating,service,countyState,fips
50,159,4.95,education,"Boulder County, CO",8013
7,28,4.93,education,"Kossuth County, IA",19109
10,33,4.9,education,"Humboldt County, IA",19091
4,17,4.88,education,"Quay County, NM",35037
4,20,4.88,education,"Decatur County, IA",19053
4,84,4.88,education,"Grand County, UT",49019
50,230,4.87,education,"Clackamas County, OR",41005
50,72,4.86,education,"Robertson County, TX",48395
50,226,4.86,education,"Multnomah County, OR",41051
50,368,4.86,education,"Cuyahoga County, OH",39035
50,522,4.86,education,"San Diego County, CA",6073
50,759,4.86,education,"New York County, NY",36061
10,25,4.85,education,"Iron County, MI",26071
50,184,4.85,education,"Marion County, OR",41047
50,252,4.85,education,"Sonoma County, CA",6097
50,73,4.84,education,"Burleson County, TX",48051
50,138,4.84,education,"Middlesex County, MA",25017
50,141,4.84,education,"Walker County, TX",48471
50,165,4.84,education,"Crawford County, IN",18025
50,190,4.84,education,"Pinellas County, FL",12103
3,14,4.83,education,"Harding County, NM",35021
9,44,4.83,education,"Sunflower County, MS",28133
50,81,4.83,education,"Grimes County, TX",48185
50,172,4.83,education,"Richmond County, VA",51159
50,177,4.83,education,"Gilmer County, GA",13123
50,248,4.83,education,"Gilpin County, CO",8047
50,107,4.82,education,"Karnes County, TX",48255
50,121,4.82,education,"Duval County, FL",12031
50,146,4.82,education,"Smith County, TN",47159
50,147,4.82,education,"Oklahoma County, OK",40109
50,148,4.82,education,"Davidson County, TN",47037
50,209,4.82,education,"St. Bernard Parish, LA",22087
50,379,4.82,education,"Santa Clara County, CA",6085
8,21,4.81,education,"Brookings County, SD",46011
50,108,4.81,education,"Chester County, PA",42029
50,144,4.81,education,"Baltimore, MD",24510
50,150,4.81,education,"Wilson County, TX",48493
50,189,4.81,education,"Wake County, NC",37183
50,328,4.81,education,"Santa Barbara County, CA",6083
50,470,4.81,education,"Orange County, CA",6059
50,567,4.81,education,"Santa Cruz County, CA",6087
5,23,4.8,education,"Colfax County, NM",35007
50,192,4.8,education,"Monroe County, NY",36055
50,193,4.8,education,"Montgomery County, MD",24031
50,206,4.8,education,"Blanco County, TX",48031
50,225,4.8,education,"Tillamook County, OR",41057
50,248,4.8,education,"King County, WA",53033
50,318,4.8,education,"Lee County, TX",48287
7,18,4.79,education,"Archuleta County, CO",8007
7,78,4.79,education,"Gilliam County, OR",41021
50,88,4.79,education,"Madison County, TX",48313
50,114,4.79,education,"Williamson County, TN",47187
50,172,4.79,education,"Cobb County, GA",13067
50,179,4.79,education,"Loudoun County, VA",51107
50,182,4.79,education,"Fort Bend County, TX",48157
50,254,4.79,education,"Skamania County, WA",53059
50,369,4.79,education,"Philadelphia County, PA",42101
50,492,4.79,education,"Yolo County, CA",6113
9,38,4.78,education,"Morrow County, OR",41049
16,45,4.78,education,"Gogebic County, MI",26053
50,112,4.78,education,"Sandoval County, NM",35043
50,127,4.78,education,"Comal County, TX",48091
50,146,4.78,education,"Baker County, FL",12003
50,147,4.78,education,"Jefferson County, KY",21111
50,179,4.78,education,"Orleans Parish, LA",22071
50,180,4.78,education,"Prince William County, VA",51153
50,206,4.78,education,"Jefferson County, CO",8059
50,216,4.78,education,"Livingston County, NY",36051
50,247,4.78,education,"Snohomish County, WA",53061
50,281,4.78,education,"Washtenaw County, MI",26161
50,469,4.78,education,"Marin County, CA",6041
50,512,4.78,education,"Ventura County, CA",6111
50,86,4.77,education,"Giles County, TN",47055
50,116,4.77,education,"Washington County, TX",48477
50,144,4.77,education,"Lincoln County, TN",47103
50,159,4.77,education,"Elbert County, CO",8039
50,167,4.77,education,"Buncombe County, NC",37021
50,180,4.77,education,"Richmond, VA",51760
50,202,4.77,education,"Will County, IL",17197
