results,reviews,rating,service,countyState,fips
9,27,0.53,food,"Ziebach County, SD",46137
8,25,0.52,food,"Sioux County, ND",38085
13,38,0.32,food,"Grant County, NE",31075
50,7655,0.27,food,"Kings County, CA",6031
50,2676,0.26,food,"Navajo County, AZ",4017
50,1342,0.25,food,"Logan County, NE",31113
50,2589,0.24,food,"Canyon County, ID",16027
50,2238,0.24,food,"Missaukee County, MI",26113
50,5831,0.24,food,"San Bernardino County, CA",6071
50,1113,0.23,food,"Calloway County, KY",21035
50,453,0.22,food,"Scott County, IL",17171
50,2499,0.21,food,"McDowell County, NC",37111
50,1591,0.21,food,"Pima County, AZ",4019
50,2291,0.2,food,"Clark County, KY",21049
50,2363,0.2,food,"San Miguel County, NM",35047
50,642,0.19,food,"Wayne County, IA",19185
50,776,0.19,food,"Floyd County, TX",48153
50,1877,0.19,food,"Simpson County, KY",21213
50,1540,0.19,food,"Lincoln County, NE",31111
50,690,0.18,food,"Waupaca County, WI",55135
10,23,0.18,food,"Thomas County, NE",31171
50,1527,0.18,food,"Ward County, TX",48475
37,704,0.18,food,"Cheyenne County, CO",8017
50,1452,0.17,food,"Charlotte County, VA",51037
50,12060,0.17,food,"Storey County, NV",32029
50,2709,0.17,food,"Grant County, NM",35017
50,2040,0.17,food,"Effingham County, IL",17049
50,1775,0.17,food,"DeSoto County, FL",12027
50,722,0.17,food,"Calhoun County, GA",13037
50,506,0.17,food,"Lake County, TN",47095
50,761,0.17,food,"Weston County, WY",56045
50,3955,0.16,food,"Grainger County, TN",47057
50,4986,0.16,food,"Lumpkin County, GA",13187
50,705,0.16,food,"Sioux County, NE",31165
50,2321,0.16,food,"Gallatin County, KY",21077
15,402,0.16,food,"Lincoln County, NV",32017
50,1630,0.15,food,"Gates County, NC",37073
50,2482,0.15,food,"McClain County, OK",40087
50,2221,0.15,food,"Harris County, GA",13145
50,1827,0.15,food,"Medina County, TX",48325
50,779,0.15,food,"Polk County, MN",27119
50,5084,0.15,food,"Mathews County, VA",51115
50,491,0.15,food,"Harper County, OK",40059
50,607,0.15,food,"Kearny County, KS",20093
44,433,0.15,food,"Galax, VA",51640
50,1266,0.14,food,"Montgomery County, IL",17135
50,519,0.14,food,"Schuyler County, IL",17169
