results,	reviews,	rating,	service,	countyState,	fips
5,11,1.48,government,Duval County, TX,48131
6,35,1.25,government,McMullen County, TX,48311
29,120,1.23,government,Pike County, MS,28113
5,33,1.23,government,La Salle County, TX,48283
14,64,1.09,government,Coffey County, KS,20031
5,21,1.04,government,Waynesboro, VA,51820
7,8,1,government,Audubon County, IA,19009
4,4,1,government,Cass County, IA,19029
20,48,1,government,Grundy County, IA,19075
4,5,1,government,White Pine County, NV,32033
8,14,0.97,government,Otter Tail County, MN,27111
7,8,0.97,government,Ward County, TX,48475
20,49,0.9,government,Floyd County, IA,19067
9,11,0.89,government,Harrison County, MO,29081
21,40,0.87,government,Fayette County, IA,19065
4,22,0.87,government,Lincoln County, KS,20105
18,38,0.86,government,Chickasaw County, IA,19037
3,3,0.83,government,Somerset County, ME,23025
11,19,0.81,government,Brooks County, TX,48047
12,26,0.81,government,Winkler County, TX,48495
20,43,0.79,government,Butler County, IA,19023
14,35,0.79,government,Vernon County, MO,29217
17,31,0.76,government,Bremer County, IA,19017
8,17,0.76,government,Pratt County, KS,20151
4,14,0.75,government,St. Louis County, MN,27137
32,172,0.75,government,Washington County, NC,37187
2,2,0.75,government,Hanson County, SD,46061
2,2,0.75,government,Hutchinson County, SD,46067
9,10,0.73,government,Carroll County, IA,19027
40,118,0.71,government,Dubuque County, IA,19061
13,26,0.71,government,Lawrence County, MS,28077
6,6,0.7,government,Lincoln County, MT,30053
7,7,0.69,government,Bradley County, AR,5011
37,86,0.69,government,Jackson County, IA,19097
25,53,0.69,government,Tama County, IA,19171
19,39,0.69,government,Bourbon County, KS,20011
37,67,0.69,government,Bertie County, NC,37015
15,82,0.67,government,Clay County, MN,27027
15,82,0.67,government,Norman County, MN,27107
2,2,0.67,government,Knox County, NE,31107
3,3,0.67,government,Malheur County, OR,41045
2,2,0.67,government,Bon Homme County, SD,46009
2,2,0.67,government,Kent County, TX,48263
10,11,0.66,government,Cleveland County, AR,5025
10,24,0.65,government,Kemper County, MS,28069
10,361,0.65,government,Wheeler County, OR,41069
9,17,0.64,government,Alpena County, MI,26007
5,27,0.63,government,Stillwater County, MT,30095
10,11,0.6,government,Calhoun County, IA,19025
24,114,0.6,government,Anderson County, KS,20003
5,33,0.6,government,Dimmit County, TX,48127
10,14,0.6,government,Emporia, VA,51595
6,31,0.58,government,Mitchell County, KS,20123
34,57,0.58,government,Halifax County, NC,37083
38,74,0.57,government,Jo Daviess County, IL,17085
9,12,0.57,government,Steele County, ND,38091
29,183,0.57,government,Grant County, WI,55043
12,24,0.55,government,Phillips County, AR,5107
10,37,0.55,government,Lincoln County, MS,28085
10,13,0.55,government,Traill County, ND,38097
5,12,0.55,government,Mitchell County, TX,48335
