results,reviews,rating,countyState,fips,Arating,tax_rating,satisfaction/dollar,Market value
6,14,4.75,"Kemper County, MS",28069,9.47375,501,52.8829660905133,9.3
6,18,4.75,"Schley County, GA",13249,9.47375,636,67.1328671328671,9.2
50,198,4.7,"St. Bernard Parish, LA",22087,9.3015,515,55.3674138579799,9.1
9,32,4.67,"Comanche County, KS",20033,9.19815,604,65.6653783641276,9
6,13,4.83,"Cook County, MN",27031,9.74935,1006,103.186366270572,9
10,28,4.6,"Metcalfe County, KY",21169,8.957,412,45.9975438204756,8.9
50,99,4.62,"Pawnee County, OK",40117,9.0259,573,63.4839738973399,8.9
8,31,4.88,"Kiowa County, KS",20097,9.9216,1120,112.885018545396,8.9
50,159,4.56,"Jasper County, SC",45053,8.8192,633,71.7752177068215,8.7
6,20,4.58,"Lincoln County, NM",35027,8.8881,728,81.9072692701477,8.7
50,124,4.63,"Putnam County, FL",12107,9.06035,853,94.1464733702341,8.7
50,193,4.76,"Orleans Parish, LA",22071,9.5082,1174,123.472371216424,8.7
7,10,4.86,"Alpena County, MI",26007,9.8527,1277,129.609142671552,8.7
50,142,4.53,"Mayes County, OK",40097,8.71585,580,66.545431598754,8.6
50,103,4.56,"Jackson County, IN",18071,8.8192,731,82.8873367198839,8.6
50,138,4.55,"King and Queen County, VA",51097,8.78475,747,85.0337232135234,8.6
13,94,4.58,"Fremont County, ID",16043,8.8881,798,89.7829682384312,8.6
50,118,4.58,"Crawford County, IN",18025,8.8881,848,95.4084675014908,8.6
7,22,4.57,"Wheeler County, TX",48483,8.85365,880,99.3940352284086,8.6
50,135,4.6,"Northampton County, VA",51131,8.957,1001,111.756168359942,8.6
15,84,4.67,"Presque Isle County, MI",26141,9.19815,1160,126.112316063556,8.6
50,78,4.67,"Darke County, OH",39037,9.19815,1173,127.525643743579,8.6
50,77,4.49,"Pulaski County, IN",18131,8.57805,517,60.2701080082303,8.5
9,16,4.5,"San Miguel County, NM",35047,8.6125,593,68.8534107402032,8.5
50,303,4.53,"Richmond County, VA",51159,8.71585,726,83.296523001199,8.5
50,126,4.56,"Ripley County, IN",18137,8.8192,883,100.122460087083,8.5
7,31,4.57,"Meade County, KS",20119,8.85365,1005,113.512506141535,8.5
6,29,4.83,"Ford County, KS",20057,9.74935,1501,153.958981880843,8.5
50,190,4.44,"St. Martin Parish, LA",22099,8.4058,290,34.4999881034524,8.4
50,111,4.47,"Okmulgee County, OK",40111,8.50915,463,54.4120153011758,8.4
50,105,4.48,"Osage County, OK",40113,8.5436,603,70.5791469638092,8.4
7,121,4.5,"Crook County, WY",56011,8.6125,714,82.9027576197388,8.4
50,110,4.49,"Washington County, OK",40147,8.57805,798,93.0281357651214,8.4
50,75,4.5,"Jefferson County, IN",18077,8.6125,840,97.5326560232221,8.4
