results,reviews,rating,service,countyState,fips
5,32,0.8,Nightlife,"Niobrara County, WY",56027
13,36,0.67,Nightlife,"Monroe County, AL",1099
11,74,0.64,Nightlife,"Wilcox County, AL",1131
13,119,0.63,Nightlife,"Conecuh County, AL",1035
11,47,0.56,Nightlife,"Clarke County, AL",1025
26,306,0.47,Nightlife,"Dallas County, AL",1047
11,223,0.45,Nightlife,"Lyon County, KY",21143
5,42,0.45,Nightlife,"Knox County, TX",48275
6,57,0.43,Nightlife,"Seminole County, GA",13253
6,49,0.42,Nightlife,"Prowers County, CO",8099
50,1748,0.41,Nightlife,"Screven County, GA",13251
13,764,0.39,Nightlife,"Polk County, AR",5113
8,55,0.38,Nightlife,"Greeley County, KS",20071
10,193,0.34,Nightlife,"Golden Valley County, ND",38033
11,88,0.34,Nightlife,"Washington County, AL",1129
9,113,0.33,Nightlife,"Hardeman County, TX",48197
12,26,0.33,Nightlife,"Roosevelt County, MT",30085
50,661,0.3,Nightlife,"Frio County, TX",48163
6,206,0.3,Nightlife,"Jenkins County, GA",13165
8,62,0.29,Nightlife,"Foard County, TX",48155
21,1270,0.28,Nightlife,"Lamar County, GA",13171
50,856,0.28,Nightlife,"Escambia County, AL",1053
8,61,0.28,Nightlife,"Barber County, KS",20007
9,38,0.28,Nightlife,"Roseau County, MN",27135
13,120,0.27,Nightlife,"Jackson County, OK",40065
50,12044,0.26,Nightlife,"Sacramento County, CA",6067
50,3567,0.26,Nightlife,"Torrance County, NM",35057
50,857,0.26,Nightlife,"Natchitoches Parish, LA",22069
20,119,0.26,Nightlife,"Sioux County, NE",31165
50,4257,0.25,Nightlife,"Union County, NJ",34039
17,1508,0.25,Nightlife,"Lincoln County, NM",35027
50,1465,0.25,Nightlife,"Polk County, TX",48373
50,1116,0.25,Nightlife,"Lowndes County, AL",1085
10,98,0.25,Nightlife,"Kiowa County, CO",8061
5,52,0.25,Nightlife,"Penobscot County, ME",23019
3,21,0.25,Nightlife,"Cheyenne County, CO",8017
2,21,0.25,Nightlife,"Donley County, TX",48129
50,26789,0.24,Nightlife,"New York County, NY",36061
7,168,0.24,Nightlife,"Emporia, VA",51595
8,19,0.24,Nightlife,"Sheridan County, MT",30091
50,1150,0.23,Nightlife,"Winston County, AL",1133
13,80,0.23,Nightlife,"Edwards County, IL",17047
50,1497,0.22,Nightlife,"Coke County, TX",48081
50,1487,0.22,Nightlife,"Ware County, GA",13299
50,1176,0.22,Nightlife,"Bamberg County, SC",45009
50,1136,0.22,Nightlife,"Wilbarger County, TX",48487
50,934,0.22,Nightlife,"Coffee County, TN",47031
50,922,0.22,Nightlife,"Cass County, TX",48067
12,506,0.22,Nightlife,"Luna County, NM",35029
18,183,0.22,Nightlife,"La Salle County, TX",48283
29,157,0.22,Nightlife,"Adair County, MO",29001
7,67,0.22,Nightlife,"Haskell County, TX",48207
10,51,0.22,Nightlife,"Norton, VA",51720
4,34,0.22,Nightlife,"Lake of the Woods County, MN",27077
50,1133,0.21,Nightlife,"Clay County, FL",12019
50,1066,0.21,Nightlife,"Allendale County, SC",45005
26,665,0.21,Nightlife,"Valley County, ID",16085
9,501,0.21,Nightlife,"Grant County, NM",35017
13,326,0.21,Nightlife,"Prentiss County, MS",28117
50,1971,0.2,Nightlife,"Butler County, AL",1013
50,1209,0.2,Nightlife,"Kenedy County, TX",48261
50,1153,0.2,Nightlife,"Oliver County, ND",38065
50,943,0.2,Nightlife,"Lee County, KY",21129
