results,reviews,rating,service,countyState,fips
7,151,4.5,nightlife,"Lyon County, KY",21143
50,318,4.5,nightlife,"St. Martin Parish, LA",22099
7,39,4.43,nightlife,"Liberty County, MT",30051
6,143,4.42,nightlife,"Wallowa County, OR",41063
13,81,4.42,nightlife,"Shannon County, SD",46102
13,320,4.42,nightlife,"Keith County, NE",31101
13,324,4.42,nightlife,"Arthur County, NE",31005
50,347,4.42,nightlife,"Iron County, WI",55051
50,473,4.41,nightlife,"Gogebic County, MI",26053
50,2317,4.4,nightlife,"Blanco County, TX",48031
14,325,4.39,nightlife,"Perkins County, NE",31135
50,349,4.39,nightlife,"Florence County, WI",55037
50,422,4.39,nightlife,"Delaware County, IA",19055
4,43,4.38,nightlife,"Lake County, OR",41037
12,56,4.38,nightlife,"Gregory County, SD",46053
50,398,4.37,nightlife,"Christian County, IL",17021
7,26,4.36,nightlife,"Roger Mills County, OK",40129
7,50,4.36,nightlife,"Bennett County, SD",46007
7,91,4.36,nightlife,"Clark County, ID",16033
14,66,4.36,nightlife,"Custer County, OK",40039
50,293,4.36,nightlife,"Dickinson County, MI",26043
50,538,4.36,nightlife,"Colorado County, TX",48089
13,343,4.35,nightlife,"Chase County, NE",31029
50,527,4.35,nightlife,"Austin County, TX",48015
6,13,4.33,nightlife,"Wheatland County, MT",30107
9,42,4.33,nightlife,"Harper County, OK",40059
9,134,4.33,nightlife,"Pulaski County, IL",17153
50,221,4.33,nightlife,"Monona County, IA",19133
50,686,4.33,nightlife,"Washington County, WI",55131
11,56,4.32,nightlife,"Ellis County, OK",40045
50,290,4.32,nightlife,"Terrebonne Parish, LA",22109
50,372,4.32,nightlife,"Buffalo County, WI",55011
21,108,4.31,nightlife,"Dewey County, OK",40043
50,423,4.31,nightlife,"Grant County, WI",55043
50,562,4.31,nightlife,"Polk County, MO",29167
50,918,4.31,nightlife,"Fayette County, TX",48149
5,72,4.3,nightlife,"Garfield County, UT",49017
50,316,4.3,nightlife,"Louisa County, IA",19115
50,432,4.3,nightlife,"Vermilion Parish, LA",22113
50,850,4.3,nightlife,"Osage County, KS",20139
50,3738,4.3,nightlife,"Miami-Dade County, FL",12086
7,55,4.29,nightlife,"Haskell County, TX",48207
50,592,4.29,nightlife,"Sheboygan County, WI",55117
50,157,4.28,nightlife,"St. Mary Parish, LA",22101
50,264,4.28,nightlife,"Mahaska County, IA",19123
50,323,4.28,nightlife,"Iberia Parish, LA",22045
50,404,4.28,nightlife,"Mercer County, IL",17131
50,572,4.28,nightlife,"Menominee County, MI",26109
50,723,4.28,nightlife,"Harrison County, IA",19085
50,799,4.28,nightlife,"Fayette County, AL",1057
50,2908,4.28,nightlife,"Broomfield County, CO",8014
50,3246,4.28,nightlife,"Gillespie County, TX",48171
11,64,4.27,nightlife,"Dawes County, NE",31045
50,335,4.27,nightlife,"Keokuk County, IA",19107
50,377,4.27,nightlife,"Woodbury County, IA",19193
50,403,4.27,nightlife,"Logan County, IL",17107
50,435,4.27,nightlife,"Bremer County, IA",19017
50,459,4.27,nightlife,"Iron County, MI",26071
50,557,4.27,nightlife,"Macoupin County, IL",17117
50,588,4.27,nightlife,"Calumet County, WI",55015
50,1251,4.27,nightlife,"Iredell County, NC",37097
50,289,4.26,nightlife,"Wapello County, IA",19179
50,308,4.26,nightlife,"Trempealeau County, WI",55121
50,489,4.26,nightlife,"Rock Island County, IL",17161
50,619,4.26,nightlife,"Jones County, IA",19105
50,723,4.26,nightlife,"Androscoggin County, ME",23001
50,823,4.26,nightlife,"Waller County, TX",48473
50,2060,4.26,nightlife,"Mason County, TX",48319
2,11,4.25,nightlife,"Collingsworth County, TX",48087
4,31,4.25,nightlife,"Knox County, TX",48275
4,37,4.25,nightlife,"Fergus County, MT",30027
4,39,4.25,nightlife,"Penobscot County, ME",23019
4,101,4.25,nightlife,"Cherry County, NE",31031
6,62,4.25,nightlife,"Grant County, OR",41023
8,10,4.25,nightlife,"Brown County, IL",17009
14,66,4.25,nightlife,"Judith Basin County, MT",30045
14,74,4.25,nightlife,"Buffalo County, SD",46017
18,296,4.25,nightlife,"Lassen County, CA",6035
22,142,4.25,nightlife,"Elk County, KS",20049
50,456,4.25,nightlife,"Washington County, IA",19183
50,522,4.25,nightlife,"Bureau County, IL",17011
50,741,4.25,nightlife,"Elbert County, GA",13105
50,1157,4.25,nightlife,"Rutherford County, NC",37161
50,1588,4.25,nightlife,"Durham County, NC",37063
50,1774,4.25,nightlife,"Kootenai County, ID",16055
50,2022,4.25,nightlife,"Middlesex County, MA",25017
50,2877,4.25,nightlife,"Douglas County, CO",8035
50,4149,4.25,nightlife,"San Luis Obispo County, CA",6079
50,156,4.24,nightlife,"Assumption Parish, LA",22007
50,232,4.24,nightlife,"Morgan County, IL",17137
50,338,4.24,nightlife,"Vernon County, WI",55123
50,475,4.24,nightlife,"Lafayette County, WI",55065
50,594,4.24,nightlife,"Green County, WI",55045
