results,reviews,rating,service,countyState,fips
6,14,4.92,public services,"Pike County, MS",28113
5,13,4.9,public services,"Lowndes County, MS",28087
8,31,4.88,public services,"Kiowa County, KS",20097
7,20,4.86,public services,"Noxubee County, MS",28103
6,13,4.83,public services,"Cook County, MN",27031
6,29,4.83,public services,"Ford County, KS",20057
5,12,4.8,public services,"Baker County, OR",41001
5,28,4.8,public services,"Clark County, KS",20025
5,28,4.8,public services,"Edwards County, KS",20047
5,28,4.8,public services,"Gray County, KS",20069
5,28,4.8,public services,"Hodgeman County, KS",20083
5,28,4.8,public services,"Pawnee County, KS",20145
7,15,4.79,public services,"Oktibbeha County, MS",28105
11,83,4.77,public services,"Fremont County, ID",16043
6,17,4.75,public services,"Lyon County, MN",27083
50,163,4.74,public services,"Bennington County, VT",50003
11,142,4.73,public services,"Rio Arriba County, NM",35039
50,158,4.73,public services,"Hartford County, CT",9003
9,21,4.72,public services,"Murray County, MN",27101
50,525,4.72,public services,"Bexar County, TX",48029
5,14,4.7,public services,"San Juan County, UT",49037
5,19,4.7,public services,"Platte County, WY",56031
50,222,4.7,public services,"Allegheny County, PA",42003
50,320,4.69,public services,"Charleston County, SC",45019
50,214,4.68,public services,"Erie County, NY",36029
50,236,4.68,public services,"Putnam County, FL",12107
9,32,4.67,public services,"Comanche County, KS",20033
15,84,4.67,public services,"Presque Isle County, MI",26141
50,229,4.66,public services,"Ripley County, IN",18137
50,745,4.66,public services,"Philadelphia County, PA",42101
50,137,4.65,public services,"Preble County, OH",39135
50,197,4.65,public services,"Henrico County, VA",51087
18,171,4.64,public services,"Grant County, WI",55043
50,164,4.64,public services,"Henry County, KY",21103
12,56,4.63,public services,"Russell County, KY",21207
50,123,4.63,public services,"Pawnee County, OK",40117
50,162,4.63,public services,"Jefferson County, IN",18077
50,200,4.63,public services,"Richmond, VA",51760
50,252,4.63,public services,"Hamilton County, OH",39061
13,37,4.62,public services,"Lewis County, KY",21135
50,301,4.62,public services,"Milwaukee County, WI",55079
50,324,4.62,public services,"Milam County, TX",48331
50,108,4.61,public services,"Darke County, OH",39037
50,204,4.61,public services,"Knox County, ME",23013
50,214,4.61,public services,"Atchison County, KS",20005
50,278,4.61,public services,"Richmond County, VA",51159
50,299,4.61,public services,"Cuyahoga County, OH",39035
50,153,4.6,public services,"Kennebec County, ME",23011
17,38,4.59,public services,"Pulaski County, KY",21199
50,81,4.59,public services,"Pulaski County, IN",18131
50,121,4.59,public services,"Jackson County, IN",18071
50,160,4.59,public services,"Fairfield County, CT",9001
6,20,4.58,public services,"Lincoln County, NM",35027
6,34,4.58,public services,"Presidio County, TX",48377
50,103,4.58,public services,"Ashland County, OH",39005
50,194,4.58,public services,"Sagadahoc County, ME",23023
50,215,4.58,public services,"Marion County, KY",21155
50,217,4.58,public services,"St. Martin Parish, LA",22099
50,222,4.58,public services,"Dearborn County, IN",18029
50,235,4.58,public services,"Owen County, KY",21187
7,22,4.57,public services,"Hemphill County, TX",48211
7,22,4.57,public services,"Wheeler County, TX",48483
7,31,4.57,public services,"Meade County, KS",20119
7,40,4.57,public services,"Webster County, NE",31181
50,143,4.57,public services,"Schoharie County, NY",36095
50,169,4.57,public services,"Crawford County, IN",18025
50,183,4.57,public services,"Essex County, VA",51057
50,201,4.57,public services,"Lincoln County, ME",23015
50,347,4.57,public services,"Jefferson County, KY",21111
50,468,4.57,public services,"Fulton County, GA",13121
50,524,4.57,public services,"Marion County, IN",18097
9,27,4.56,public services,"Metcalfe County, KY",21169
16,24,4.56,public services,"Carroll County, KY",21041
16,40,4.56,public services,"Pike County, OH",39131
25,183,4.56,public services,"Chippewa County, MI",26033
50,162,4.56,public services,"Jefferson County, OH",39081
50,218,4.56,public services,"Chattooga County, GA",13055
10,15,4.55,public services,"Alcona County, MI",26001
50,80,4.55,public services,"Cattaraugus County, NY",36009
50,190,4.55,public services,"King William County, VA",51101
50,205,4.55,public services,"Jasper County, IA",19099
50,310,4.55,public services,"New Kent County, VA",51127
12,14,4.54,public services,"Okanogan County, WA",53047
50,106,4.54,public services,"Newton County, IN",18111
50,156,4.54,public services,"Bartow County, GA",13015
50,172,4.54,public services,"Floyd County, GA",13115
50,301,4.54,public services,"Charles City County, VA",51036
50,309,4.54,public services,"Salt Lake County, UT",49035
50,319,4.54,public services,"Hocking County, OH",39073
50,809,4.54,public services,"Essex County, MA",25009
50,106,4.53,public services,"Lafayette County, MO",29107
50,118,4.53,public services,"Osage County, OK",40113
50,204,4.53,public services,"Rutland County, VT",50021
50,244,4.53,public services,"Franklin County, IN",18047
50,259,4.53,public services,"Grant County, KY",21081
50,417,4.53,public services,"Orleans Parish, LA",22071
21,100,4.52,public services,"Dubuque County, IA",19061
50,170,4.52,public services,"King and Queen County, VA",51097
50,214,4.52,public services,"Greene County, PA",42059
50,280,4.52,public services,"Jasper County, SC",45053
50,304,4.52,public services,"Ross County, OH",39141
50,351,4.52,public services,"Fayette County, OH",39047
50,2611,4.52,public services,"District of Columbia, DC",11001
50,157,4.51,public services,"Rockingham County, NH",33015
50,172,4.51,public services,"Breckinridge County, KY",21027
50,278,4.51,public services,"Pendleton County, KY",21191
50,288,4.51,public services,"Northampton County, VA",51131
50,312,4.51,public services,"Pickaway County, OH",39129
50,1560,4.51,public services,"Middlesex County, MA",25017
50,1803,4.51,public services,"Suffolk County, MA",25025
6,39,4.5,public services,"Harlan County, NE",31083
7,121,4.5,public services,"Crook County, WY",56011
9,16,4.5,public services,"San Miguel County, NM",35047
9,17,4.5,public services,"Kossuth County, IA",19109
9,18,4.5,public services,"Chickasaw County, IA",19037
10,75,4.5,public services,"Fayette County, IA",19065
13,22,4.5,public services,"Wayne County, KY",21231
14,20,4.5,public services,"Poweshiek County, IA",19157
50,92,4.5,public services,"Jennings County, IN",18079
50,125,4.5,public services,"Greene County, IL",17061
50,163,4.5,public services,"Allegan County, MI",26005
50,164,4.5,public services,"Waldo County, ME",23027
50,169,4.5,public services,"Mayes County, OK",40097
50,190,4.5,public services,"Armstrong County, PA",42005
50,200,4.5,public services,"Sherburne County, MN",27141
50,222,4.5,public services,"Suffolk County, NY",36103
50,223,4.5,public services,"Mariposa County, CA",6043
50,260,4.5,public services,"Tuolumne County, CA",6109
50,260,4.5,public services,"Bristol County, RI",44001
50,269,4.5,public services,"Hennepin County, MN",27053
50,406,4.5,public services,"Karnes County, TX",48255
50,1123,4.5,public services,"Contra Costa County, CA",6013
50,93,4.49,public services,"Jasper County, IN",18073
50,141,4.49,public services,"Hampden County, MA",25013
50,205,4.49,public services,"Chilton County, AL",1021
50,245,4.49,public services,"Lyon County, NV",32019
50,282,4.49,public services,"Campbell County, KY",21037
50,311,4.49,public services,"Montgomery County, PA",42091
50,324,4.49,public services,"Morgan County, IN",18109
50,421,4.49,public services,"Franklin County, OH",39049
50,487,4.49,public services,"Bandera County, TX",48019
50,517,4.49,public services,"Wilson County, TX",48493
50,1105,4.49,public services,"San Mateo County, CA",6081
50,122,4.48,public services,"Miami County, OH",39109
50,130,4.48,public services,"Barry County, MI",26015
50,136,4.48,public services,"Creek County, OK",40037
50,160,4.48,public services,"Jackson County, MO",29095
50,163,4.48,public services,"New Haven County, CT",9009
50,180,4.48,public services,"Wagoner County, OK",40145
50,207,4.48,public services,"Marshall County, IA",19127
50,213,4.48,public services,"Geauga County, OH",39055
50,225,4.48,public services,"Howard County, IN",18067
50,253,4.48,public services,"Marion County, OR",41047
50,284,4.48,public services,"Providence County, RI",44007
50,404,4.48,public services,"Duval County, FL",12031
50,505,4.48,public services,"Atascosa County, TX",48013
15,28,4.47,public services,"Winston County, MS",28159
50,125,4.47,public services,"Tompkins County, NY",36109
50,151,4.47,public services,"Yates County, NY",36123
50,158,4.47,public services,"Shelby County, KY",21211
50,180,4.47,public services,"Livingston County, NY",36051
50,205,4.47,public services,"Walker County, AL",1127
50,205,4.47,public services,"Grimes County, TX",48185
50,206,4.47,public services,"Tuscaloosa County, AL",1125
50,366,4.47,public services,"Harrison County, IN",18061
50,2220,4.47,public services,"Prince George's County, MD",24033
12,23,4.46,public services,"Gentry County, MO",29075
12,43,4.46,public services,"Socorro County, NM",35053
50,103,4.46,public services,"Hampshire County, MA",25015
50,114,4.46,public services,"Trumbull County, OH",39155
50,166,4.46,public services,"Rockland County, NY",36087
50,175,4.46,public services,"Rogers County, OK",40131
50,187,4.46,public services,"Putnam County, NY",36079
50,189,4.46,public services,"Highland County, OH",39071
50,200,4.46,public services,"Paulding County, GA",13223
50,233,4.46,public services,"Niagara County, NY",36063
50,383,4.46,public services,"Chatham County, GA",13051
