rating,fips,votes,countyState
3.87,1001,315,"Autauga County, AL"
4.17,1003,677,"Baldwin County, AL"
3.43,1005,304,"Barbour County, AL"
4.09,1007,470,"Bibb County, AL"
3.92,1009,536,"Blount County, AL"
3.71,1011,419,"Bullock County, AL"
3.81,1013,335,"Butler County, AL"
3.73,1015,187,"Calhoun County, AL"
3.6,1017,391,"Chambers County, AL"
3.59,1019,209,"Cherokee County, AL"
4.14,1021,537,"Chilton County, AL"
3.79,1023,17,"Choctaw County, AL"
3.58,1025,16,"Clarke County, AL"
3.49,1027,214,"Clay County, AL"
3.48,1029,228,"Cleburne County, AL"
3.41,1031,149,"Coffee County, AL"
3.82,1033,135,"Colbert County, AL"
3.04,1035,18,"Conecuh County, AL"
4.06,1037,545,"Coosa County, AL"
3.23,1039,152,"Covington County, AL"
3.89,1041,375,"Crenshaw County, AL"
3.72,1043,371,"Cullman County, AL"
3.54,1045,142,"Dale County, AL"
3.78,1047,71,"Dallas County, AL"
4.03,1049,381,"DeKalb County, AL"
3.95,1051,373,"Elmore County, AL"
3.42,1053,337,"Escambia County, AL"
4.06,1055,385,"Etowah County, AL"
3.48,1057,157,"Fayette County, AL"
3.95,1059,121,"Franklin County, AL"
3.52,1061,270,"Geneva County, AL"
3.42,1063,127,"Greene County, AL"
3.61,1065,166,"Hale County, AL"
3.49,1067,111,"Henry County, AL"
3.57,1069,148,"Houston County, AL"
3.97,1071,407,"Jackson County, AL"
4.33,1073,692,"Jefferson County, AL"
3.86,1075,194,"Lamar County, AL"
3.75,1077,131,"Lauderdale County, AL"
3.52,1079,209,"Lawrence County, AL"
3.63,1081,307,"Lee County, AL"
3.89,1083,354,"Limestone County, AL"
3.84,1085,338,"Lowndes County, AL"
3.71,1087,399,"Macon County, AL"
3.67,1089,351,"Madison County, AL"
3.97,1091,35,"Marengo County, AL"
3.81,1093,157,"Marion County, AL"
3.78,1095,283,"Marshall County, AL"
4.18,1097,603,"Mobile County, AL"
2.71,1099,18,"Monroe County, AL"
3.87,1101,357,"Montgomery County, AL"
3.76,1103,352,"Morgan County, AL"
