results,votes,rating,service,countyState,fips
3,10,2.5,Landmarks,"Latimer County, OK",40077
4,13,2.63,Landmarks,"McCurtain County, OK",40089
4,13,2.63,Landmarks,"Red River County, TX",48387
3,23,2.67,Landmarks,"Brooks County, TX",48047
5,14,2.7,Landmarks,"Choctaw County, OK",40023
5,14,2.7,Landmarks,"Lamar County, TX",48277
2,11,3,Landmarks,"Lanier County, GA",13173
6,68,3,Landmarks,"Cameron County, PA",42023
6,70,3.08,Landmarks,"Clinton County, PA",42035
4,13,3.13,Landmarks,"Delta County, TX",48119
2,12,3.25,Landmarks,"Bannock County, ID",16005
2,12,3.25,Landmarks,"Power County, ID",16077
3,14,3.33,Landmarks,"Atoka County, OK",40005
20,36,3.38,Landmarks,"Hood County, TX",48221
5,10,3.4,Landmarks,"Atchison County, MO",29005
20,36,3.42,Landmarks,"Erath County, TX",48143
2,11,3.5,Landmarks,"Mineral County, MT",30061
2,11,3.5,Landmarks,"Sanders County, MT",30089
2,21,3.5,Landmarks,"Duval County, TX",48131
2,293,3.5,Landmarks,"Parmer County, TX",48369
3,11,3.5,Landmarks,"Lincoln County, NV",32017
3,52,3.5,Landmarks,"Van Buren County, AR",5141
4,21,3.5,Landmarks,"Union County, AR",5139
4,25,3.5,Landmarks,"Morton County, ND",38059
5,35,3.5,Landmarks,"Kenedy County, TX",48261
7,87,3.5,Landmarks,"Coffee County, AL",1031
20,140,3.5,Landmarks,"Somervell County, TX",48425
20,37,3.52,Landmarks,"Palo Pinto County, TX",48363
9,12,3.56,Landmarks,"Warren County, PA",42123
7,16,3.57,Landmarks,"Jackson County, TX",48239
6,26,3.58,Landmarks,"Bryan County, OK",40013
5,11,3.6,Landmarks,"Ouachita County, AR",5103
5,29,3.6,Landmarks,"Floyd County, TX",48153
5,29,3.6,Landmarks,"Hockley County, TX",48219
5,29,3.6,Landmarks,"Lamb County, TX",48279
9,806,3.61,Landmarks,"Mercer County, KY",21167
4,594,3.63,Landmarks,"Marshall County, OK",40095
8,67,3.63,Landmarks,"Henry County, AL",1067
15,999,3.63,Landmarks,"Mohave County, AZ",4015
13,124,3.65,Landmarks,"Geneva County, AL",1061
20,143,3.65,Landmarks,"Comanche County, TX",48093
20,1529,3.65,Landmarks,"El Paso County, CO",8041
3,14,3.67,Landmarks,"Anderson County, KS",20003
3,36,3.67,Landmarks,"Dawson County, NE",31047
3,102,3.67,Landmarks,"Nye County, NV",32023
6,30,3.67,Landmarks,"Crosby County, TX",48107
9,90,3.67,Landmarks,"Dale County, AL",1045
20,736,3.67,Landmarks,"Manassas, VA",51683
8,49,3.69,Landmarks,"Otsego County, MI",26137
5,106,3.7,Landmarks,"McCreary County, KY",21147
20,121,3.7,Landmarks,"Lucas County, OH",39095
14,316,3.71,Landmarks,"Union County, PA",42119
16,628,3.72,Landmarks,"Logan County, OK",40083
15,47,3.73,Landmarks,"Hidalgo County, TX",48215
15,103,3.73,Landmarks,"Mecklenburg County, VA",51117
17,58,3.74,Landmarks,"Willacy County, TX",48489
17,622,3.74,Landmarks,"Payne County, OK",40119
2,12,3.75,Landmarks,"Allen County, KS",20001
2,14,3.75,Landmarks,"Atkinson County, GA",13003
2,18,3.75,Landmarks,"Blaine County, ID",16013
2,21,3.75,Landmarks,"Houghton County, MI",26061
2,27,3.75,Landmarks,"Morrow County, OR",41049
4,12,3.75,Landmarks,"Clinton County, KY",21053
4,28,3.75,Landmarks,"Hale County, TX",48189
4,28,3.75,Landmarks,"Terry County, TX",48445
4,36,3.75,Landmarks,"Crockett County, TN",47033
4,103,3.75,Landmarks,"Wayne County, KY",21231
8,21,3.75,Landmarks,"Ballard County, KY",21007
8,21,3.75,Landmarks,"Carlisle County, KY",21039
12,59,3.75,Landmarks,"Clinton County, MI",26037
12,103,3.75,Landmarks,"Centre County, PA",42027
12,737,3.75,Landmarks,"Clark County, KY",21049
14,669,3.75,Landmarks,"San Bernardino County, CA",6071
19,188,3.76,Landmarks,"Lunenburg County, VA",51111
11,124,3.77,Landmarks,"Fulton County, OH",39051
13,76,3.77,Landmarks,"Gratiot County, MI",26057
20,100,3.77,Landmarks,"Ottawa County, OH",39123
18,635,3.78,Landmarks,"Lincoln County, OK",40081
7,122,3.79,Landmarks,"Missaukee County, MI",26113
14,417,3.79,Landmarks,"Dillon County, SC",45033
5,11,3.8,Landmarks,"Montmorency County, MI",26119
5,14,3.8,Landmarks,"Pawnee County, NE",31133
5,21,3.8,Landmarks,"Butte County, SD",46019
5,26,3.8,Landmarks,"Emmons County, ND",38029
5,29,3.8,Landmarks,"Garza County, TX",48169
5,29,3.8,Landmarks,"Lubbock County, TX",48303
5,29,3.8,Landmarks,"Lynn County, TX",48305
5,46,3.8,Landmarks,"Buffalo County, NE",31019
5,46,3.8,Landmarks,"Sherman County, NE",31163
5,106,3.8,Landmarks,"Caddo County, OK",40015
10,92,3.8,Landmarks,"Houston County, AL",1069
20,84,3.8,Landmarks,"Portsmouth, VA",51740
20,129,3.8,Landmarks,"Chowan County, NC",37041
20,366,3.8,Landmarks,"Clarke County, VA",51043
8,638,3.81,Landmarks,"Montague County, TX",48337
16,50,3.81,Landmarks,"Cameron County, TX",48061
11,136,3.82,Landmarks,"Wexford County, MI",26165
17,354,3.82,Landmarks,"Darlington County, SC",45031
3,10,3.83,Landmarks,"Le Flore County, OK",40079
3,12,3.83,Landmarks,"Hopkins County, TX",48223
3,24,3.83,Landmarks,"Baraga County, MI",26013
3,51,3.83,Landmarks,"Park County, MT",30067
3,57,3.83,Landmarks,"Covington County, AL",1039
3,583,3.83,Landmarks,"Jefferson County, OK",40067
6,15,3.83,Landmarks,"Blue Earth County, MN",27013
6,19,3.83,Landmarks,"Titus County, TX",48449
6,41,3.83,Landmarks,"Boyd County, KY",21019
6,111,3.83,Landmarks,"Whitley County, KY",21235
20,88,3.83,Landmarks,"Seminole County, FL",12117
20,95,3.83,Landmarks,"Jackson County, FL",12063
10,13,3.85,Landmarks,"Henry County, IN",18065
20,154,3.85,Landmarks,"Parker County, TX",48367
20,155,3.85,Landmarks,"Chesterfield County, SC",45025
20,191,3.85,Landmarks,"Scott County, TN",47151
20,437,3.85,Landmarks,"Fayette County, TX",48149
7,30,3.86,Landmarks,"Marengo County, AL",1091
7,32,3.86,Landmarks,"Oliver County, ND",38065
7,92,3.86,Landmarks,"Newton County, AR",5101
11,28,3.86,Landmarks,"Miami County, IN",18103
15,200,3.87,Landmarks,"Antrim County, MI",26009
4,11,3.88,Landmarks,"Bingham County, ID",16011
4,11,3.88,Landmarks,"Bonneville County, ID",16019
4,14,3.88,Landmarks,"Bates County, MO",29013
4,26,3.88,Landmarks,"Shoshone County, ID",16079
8,11,3.88,Landmarks,"Lincoln County, AR",5079
20,101,3.88,Landmarks,"Sandusky County, OH",39143
20,113,3.88,Landmarks,"Anderson County, TN",47001
20,138,3.88,Landmarks,"El Paso County, TX",48141
20,415,3.88,Landmarks,"Glades County, FL",12043
9,20,3.89,Landmarks,"Pickett County, TN",47137
9,22,3.89,Landmarks,"Victoria County, TX",48469
9,242,3.89,Landmarks,"Daviess County, KY",21059
14,73,3.89,Landmarks,"Prince Edward County, VA",51147
14,626,3.89,Landmarks,"Kingfisher County, OK",40073
19,564,3.89,Landmarks,"Santa Rosa County, FL",12113
5,10,3.9,Landmarks,"Renville County, MN",27129
10,46,3.9,Landmarks,"Colonial Heights, VA",51570
15,907,3.9,Landmarks,"Jackson County, KY",21109
20,92,3.9,Landmarks,"Morgan County, TN",47129
20,418,3.9,Landmarks,"Johnson County, TX",48251
20,767,3.9,Landmarks,"Okaloosa County, FL",12091
11,46,3.91,Landmarks,"Henry County, MO",29083
11,244,3.91,Landmarks,"Hancock County, KY",21091
11,425,3.91,Landmarks,"Tattnall County, GA",13267
16,628,3.91,Landmarks,"Oklahoma County, OK",40109
17,843,3.91,Landmarks,"Owsley County, KY",21189
6,20,3.92,Landmarks,"Neosho County, KS",20133
12,25,3.92,Landmarks,"Fulton County, KY",21075
13,100,3.92,Landmarks,"Clearfield County, PA",42033
13,955,3.92,Landmarks,"Pennington County, SD",46103
19,169,3.92,Landmarks,"Calhoun County, MI",26025
20,30,3.92,Landmarks,"Windham County, CT",9015
20,99,3.92,Landmarks,"Shiawassee County, MI",26155
20,111,3.92,Landmarks,"Erie County, OH",39043
20,116,3.92,Landmarks,"Holmes County, FL",12059
20,176,3.92,Landmarks,"New Castle County, DE",10003
20,186,3.92,Landmarks,"Madison County, AL",1089
20,456,3.92,Landmarks,"Fairfax County, VA",51059
20,1573,3.92,Landmarks,"Teller County, CO",8119
7,33,3.93,Landmarks,"Morris County, TX",48343
7,37,3.93,Landmarks,"Labette County, KS",20099
7,51,3.93,Landmarks,"Duplin County, NC",37061
7,82,3.93,Landmarks,"Nicollet County, MN",27103
7,604,3.93,Landmarks,"Love County, OK",40085
14,47,3.93,Landmarks,"Lavaca County, TX",48285
