results,votes,rating,service,countyState,fips
16,44,3.91,Libraries,"Abbeville County, SC",45001
5,9,4.2,Libraries,"Acadia Parish, LA",22001
12,30,4.33,Libraries,"Accomack County, VA",51001
20,120,4.42,Libraries,"Ada County, ID",16001
6,14,4.83,Libraries,"Adair County, IA",19001
3,7,4.17,Libraries,"Adair County, KY",21001
0,0,NaN,Libraries,"Adair County, MO",29001
11,42,4.09,Libraries,"Adair County, OK",40001
20,437,4.13,Libraries,"Adams County, CO",8001
1,1,5,Libraries,"Adams County, IA",19003
1,1,5,Libraries,"Adams County, ID",16003
4,5,3.88,Libraries,"Adams County, IL",17001
20,27,4.22,Libraries,"Adams County, IN",18001
3,5,3.67,Libraries,"Adams County, MS",28001
3,4,4.83,Libraries,"Adams County, NE",31001
11,18,4.32,Libraries,"Adams County, OH",39001
20,106,4.33,Libraries,"Adams County, PA",42001
2,2,4,Libraries,"Adams County, WA",53001
11,16,3.91,Libraries,"Adams County, WI",55001
20,53,4.28,Libraries,"Addison County, VT",50001
20,69,4.08,Libraries,"Aiken County, SC",45003
1,1,5,Libraries,"Aitkin County, MN",27001
20,64,4.38,Libraries,"Alachua County, FL",12001
20,159,4.33,Libraries,"Alamance County, NC",37001
20,1783,3.83,Libraries,"Alameda County, CA",6001
5,8,4.6,Libraries,"Alamosa County, CO",8003
20,90,4.17,Libraries,"Albany County, NY",36001
1,2,3,Libraries,"Albany County, WY",56001
20,475,4.2,Libraries,"Albemarle County, VA",51003
5,7,4.4,Libraries,"Alcona County, MI",26001
4,4,3.75,Libraries,"Alcorn County, MS",28003
6,8,4.67,Libraries,"Alexander County, IL",17003
5,13,4.1,Libraries,"Alexander County, NC",37003
20,774,3.98,Libraries,"Alexandria, VA",51510
3,4,4.33,Libraries,"Alfalfa County, OK",40003
3,3,5,Libraries,"Allamakee County, IA",19005
20,63,4.7,Libraries,"Allegan County, MI",26005
15,257,4.37,Libraries,"Allegany County, MD",24001
18,32,4.53,Libraries,"Allegany County, NY",36003
7,10,4.36,Libraries,"Alleghany County, NC",37005
11,29,4.14,Libraries,"Alleghany County, VA",51005
20,167,4.42,Libraries,"Allegheny County, PA",42003
18,28,4.03,Libraries,"Allen County, IN",18003
2,2,3.5,Libraries,"Allen County, KS",20001
0,0,0,Libraries,"Allen County, KY",21003
12,16,4.71,Libraries,"Allen County, OH",39003
3,4,3.67,Libraries,"Allen Parish, LA",22003
15,50,3.77,Libraries,"Allendale County, SC",45005
3,4,4.83,Libraries,"Alpena County, MI",26007
20,252,4.53,Libraries,"Alpine County, CA",6003
20,268,4.17,Libraries,"Amador County, CA",6005
20,82,4.17,Libraries,"Amelia County, VA",51007
20,52,4.3,Libraries,"Amherst County, VA",51009
3,4,4.67,Libraries,"Amite County, MS",28005
5,15,4.3,Libraries,"Anderson County, KS",20003
6,15,4.58,Libraries,"Anderson County, KY",21005
20,57,3.88,Libraries,"Anderson County, SC",45007
16,34,4.03,Libraries,"Anderson County, TN",47001
8,10,3.94,Libraries,"Anderson County, TX",48001
7,23,4.64,Libraries,"Andrew County, MO",29003
3,6,4.17,Libraries,"Andrews County, TX",48003
20,53,4.55,Libraries,"Androscoggin County, ME",23001
4,5,4,Libraries,"Angelina County, TX",48005
20,639,3.9,Libraries,"Anne Arundel County, MD",24003
20,156,4.22,Libraries,"Anoka County, MN",27003
20,165,4.17,Libraries,"Anson County, NC",37007
17,31,4.65,Libraries,"Antrim County, MI",26009
1,1,3,Libraries,"Apache County, AZ",4001
0,0,NaN,Libraries,"Appanoose County, IA",19007
1,1,5,Libraries,"Appling County, GA",13001
13,391,3.62,Libraries,"Appomattox County, VA",51011
6,7,2.92,Libraries,"Aransas County, TX",48007
20,437,4.2,Libraries,"Arapahoe County, CO",8005
5,8,3.8,Libraries,"Archer County, TX",48009
5,5,4.6,Libraries,"Archuleta County, CO",8007
10,21,4,Libraries,"Arenac County, MI",26011
1,1,5,Libraries,"Arkansas County, AR",5001
20,720,4.17,Libraries,"Arlington County, VA",51013
20,139,4.65,Libraries,"Armstrong County, PA",42005
4,297,3.25,Libraries,"Armstrong County, TX",48011
20,125,4.17,Libraries,"Ascension Parish, LA",22005
6,7,4.5,Libraries,"Ashe County, NC",37009
20,60,4.47,Libraries,"Ashland County, OH",39005
3,4,4.33,Libraries,"Ashland County, WI",55003
2,3,4,Libraries,"Ashley County, AR",5003
20,70,4.25,Libraries,"Ashtabula County, OH",39007
5,10,3.7,Libraries,"Asotin County, WA",53003
19,349,4.32,Libraries,"Assumption Parish, LA",22007
20,236,4.25,Libraries,"Atascosa County, TX",48013
20,176,4.53,Libraries,"Atchison County, KS",20005
3,8,4.33,Libraries,"Atchison County, MO",29005
14,31,4.18,Libraries,"Athens County, OH",39009
2,2,4,Libraries,"Atkinson County, GA",13003
20,168,4.1,Libraries,"Atlantic County, NJ",34001
1,2,5,Libraries,"Atoka County, OK",40005
7,7,4.43,Libraries,"Attala County, MS",28007
5,21,4.2,Libraries,"Audrain County, MO",29007
0,0,NaN,Libraries,"Audubon County, IA",19009
17,32,4.56,Libraries,"Auglaize County, OH",39011
14,403,4.64,Libraries,"Augusta County, VA",51015
2,2,3.5,Libraries,"Aurora County, SD",46003
20,196,4.3,Libraries,"Austin County, TX",48015
7,28,2.93,Libraries,"Autauga County, AL",1001
17,30,4,Libraries,"Avery County, NC",37011
8,14,4.31,Libraries,"Avoyelles Parish, LA",22009
1,1,5,Libraries,"Bacon County, GA",13005
1,2,4,Libraries,"Bailey County, TX",48017
20,149,4.15,Libraries,"Baker County, FL",12003
2,3,2.75,Libraries,"Baker County, GA",13007
1,1,5,Libraries,"Baker County, OR",41001
20,37,4.15,Libraries,"Baldwin County, AL",1003
11,20,3.82,Libraries,"Baldwin County, GA",13009
5,7,4.4,Libraries,"Ballard County, KY",21007
20,207,4.2,Libraries,"Baltimore County, MD",24005
20,137,4.17,Libraries,"Baltimore, MD",24510
3,8,3.33,Libraries,"Bamberg County, SC",45009
20,211,4.35,Libraries,"Bandera County, TX",48019
5,13,4.2,Libraries,"Banks County, GA",13011
0,0,NaN,Libraries,"Banner County, NE",31007
5,9,4.4,Libraries,"Bannock County, ID",16005
0,0,NaN,Libraries,"Baraga County, MI",26013
2,2,5,Libraries,"Barber County, KS",20007
9,29,3.56,Libraries,"Barbour County, AL",1005
5,7,3.9,Libraries,"Barbour County, WV",54001
20,82,4.45,Libraries,"Barnstable County, MA",25001
15,45,3.87,Libraries,"Barnwell County, SC",45011
5,11,4.3,Libraries,"Barren County, KY",21009
2,3,4.5,Libraries,"Barron County, WI",55005
20,86,4.42,Libraries,"Barrow County, GA",13013
20,66,4.65,Libraries,"Barry County, MI",26015
19,67,4.11,Libraries,"Barry County, MO",29009
5,8,4.5,Libraries,"Bartholomew County, IN",18005
1,2,4.5,Libraries,"Barton County, KS",20009
2,3,4.5,Libraries,"Barton County, MO",29011
15,56,4.4,Libraries,"Bartow County, GA",13015
20,601,4.22,Libraries,"Bastrop County, TX",48021
10,38,4.3,Libraries,"Bates County, MO",29013
15,42,4.37,Libraries,"Bath County, KY",21011
8,22,4.44,Libraries,"Bath County, VA",51017
5,7,4.5,Libraries,"Baxter County, AR",5005
7,13,3.57,Libraries,"Bay County, FL",12005
14,27,4,Libraries,"Bay County, MI",26017
2,2,4,Libraries,"Bayfield County, WI",55007
6,9,3.5,Libraries,"Baylor County, TX",48023
1,1,5,Libraries,"Beadle County, SD",46005
4,6,3.63,Libraries,"Bear Lake County, ID",16007
3,5,2.67,Libraries,"Beaufort County, NC",37013
20,62,4.3,Libraries,"Beaufort County, SC",45013
3,4,3.83,Libraries,"Beauregard Parish, LA",22011
2,2,5,Libraries,"Beaver County, OK",40007
20,126,4.03,Libraries,"Beaver County, PA",42007
0,0,NaN,Libraries,"Beaver County, UT",49001
0,0,NaN,Libraries,"Beaverhead County, MT",30001
2,2,4,Libraries,"Beckham County, OK",40009
17,26,3.97,Libraries,"Bedford County, PA",42009
20,185,4.03,Libraries,"Bedford County, TN",47003
18,37,3.94,Libraries,"Bedford County, VA",51019
8,13,4.13,Libraries,"Bedford, VA",51515
7,12,3.07,Libraries,"Bee County, TX",48025
20,45,4.22,Libraries,"Belknap County, NH",33001
3,6,4.67,Libraries,"Bell County, KY",21013
20,277,4.1,Libraries,"Bell County, TX",48027
12,19,4.33,Libraries,"Belmont County, OH",39013
3,3,4,Libraries,"Ben Hill County, GA",13017
20,49,4.22,Libraries,"Benewah County, ID",16009
20,83,4.58,Libraries,"Bennington County, VT",50003
2,2,4,Libraries,"Bent County, CO",8011
10,41,3.95,Libraries,"Benton County, AR",5007
17,80,4.47,Libraries,"Benton County, IA",19011
15,31,4.27,Libraries,"Benton County, IN",18007
14,29,4.36,Libraries,"Benton County, MN",27009
7,14,4.21,Libraries,"Benton County, MO",29015
19,68,4.21,Libraries,"Benton County, MS",28009
20,107,4.15,Libraries,"Benton County, OR",41003
7,23,3.79,Libraries,"Benton County, TN",47005
13,98,3.42,Libraries,"Benton County, WA",53005
11,20,4.59,Libraries,"Benzie County, MI",26019
20,1258,4.15,Libraries,"Bergen County, NJ",34003
20,86,4.1,Libraries,"Berkeley County, SC",45015
20,170,4.33,Libraries,"Berkeley County, WV",54003
20,66,4.08,Libraries,"Berks County, PA",42011
20,84,4.42,Libraries,"Berkshire County, MA",25003
20,91,4.42,Libraries,"Bernalillo County, NM",35001
2,2,4,Libraries,"Berrien County, GA",13019
20,37,4.53,Libraries,"Berrien County, MI",26021
1,2,3.5,Libraries,"Bertie County, NC",37015
20,244,4.2,Libraries,"Bexar County, TX",48029
18,63,4.33,Libraries,"Bibb County, AL",1007
5,6,3.6,Libraries,"Bibb County, GA",13021
11,21,4.36,Libraries,"Bienville Parish, LA",22013
1,2,2.5,Libraries,"Big Horn County, WY",56003
1,1,5,Libraries,"Big Stone County, MN",27011
2,4,3.75,Libraries,"Billings County, ND",38007
6,13,4.33,Libraries,"Bingham County, ID",16011
10,27,4.5,Libraries,"Black Hawk County, IA",19013
7,7,4.29,Libraries,"Blackford County, IN",18009
11,22,3.64,Libraries,"Bladen County, NC",37017
2,3,4.25,Libraries,"Blaine County, ID",16013
7,25,4.21,Libraries,"Blaine County, OK",40011
13,24,3.92,Libraries,"Blair County, PA",42013
20,355,4.35,Libraries,"Blanco County, TX",48031
2,2,4,Libraries,"Bland County, VA",51021
7,9,3.57,Libraries,"Bleckley County, GA",13023
10,31,3.65,Libraries,"Bledsoe County, TN",47007
19,66,4.11,Libraries,"Blount County, AL",1009
20,41,4,Libraries,"Blount County, TN",47009
2,3,4.5,Libraries,"Blue Earth County, MN",27013
19,110,4.45,Libraries,"Boise County, ID",16015
0,0,NaN,Libraries,"Bolivar County, MS",28011
4,6,4,Libraries,"Bollinger County, MO",29017
0,0,NaN,Libraries,"Bon Homme County, SD",46009
20,88,4.13,Libraries,"Bond County, IL",17005
3,5,4.33,Libraries,"Bonner County, ID",16017
6,13,4.33,Libraries,"Bonneville County, ID",16019
5,7,4.5,Libraries,"Boone County, AR",5009
18,128,4.47,Libraries,"Boone County, IA",19015
20,219,4.3,Libraries,"Boone County, IL",17007
20,269,4.45,Libraries,"Boone County, IN",18011
20,177,4.2,Libraries,"Boone County, KY",21015
6,24,4.33,Libraries,"Boone County, MO",29019
8,19,4.75,Libraries,"Boone County, WV",54005
2,2,3,Libraries,"Borden County, TX",48033
