results,votes,rating,service,countyState,fips
3,17,1.33,Post Offices,"Routt County, CO",8107
4,11,1.38,Post Offices,"Norton, VA",51720
8,13,1.38,Post Offices,"DeKalb County, IN",18033
7,12,1.43,Post Offices,"Van Wert County, OH",39161
3,10,1.5,Post Offices,"Russell County, VA",51167
6,10,1.5,Post Offices,"Washington County, OH",39167
6,10,1.5,Post Offices,"Whitley County, IN",18183
20,1567,1.65,Post Offices,"Queens County, NY",36081
20,1952,1.65,Post Offices,"Kings County, NY",36047
3,12,1.67,Post Offices,"Jefferson County, ID",16051
5,10,1.7,Post Offices,"Monroe County, WI",55081
10,15,1.7,Post Offices,"Allen County, IN",18003
7,10,1.71,Post Offices,"Shelby County, MO",29205
12,29,1.71,Post Offices,"Steuben County, IN",18151
2,28,1.75,Post Offices,"Modoc County, CA",6049
5,15,1.8,Post Offices,"Brooke County, WV",54009
3,13,1.83,Post Offices,"Meade County, SD",46093
9,16,1.83,Post Offices,"Wabash County, IN",18169
14,30,1.86,Post Offices,"Seneca County, OH",39147
6,10,1.92,Post Offices,"Adams County, WI",55001
6,16,1.92,Post Offices,"Rio Blanco County, CO",8103
6,31,1.92,Post Offices,"Live Oak County, TX",48297
9,14,1.94,Post Offices,"Morgan County, OH",39115
20,764,1.95,Post Offices,"Hudson County, NJ",34017
13,28,1.96,Post Offices,"Sandusky County, OH",39143
20,84,1.98,Post Offices,"Morris County, NJ",34027
20,540,1.98,Post Offices,"Harris County, TX",48201
7,10,2,Post Offices,"Noble County, OH",39121
7,12,2,Post Offices,"Monroe County, OH",39111
7,14,2,Post Offices,"Knox County, IL",17095
11,20,2,Post Offices,"Muskingum County, OH",39119
19,28,2,Post Offices,"Montour County, PA",42093
8,34,2,Post Offices,"Guthrie County, IA",19077
20,80,2,Post Offices,"Rockland County, NY",36087
20,393,2,Post Offices,"Elbert County, CO",8039
20,645,2.02,Post Offices,"Bronx County, NY",36005
10,17,2.05,Post Offices,"Huntington County, IN",18069
20,89,2.05,Post Offices,"Ashtabula County, OH",39007
20,337,2.05,Post Offices,"Pierce County, WA",53053
20,1430,2.05,Post Offices,"New York County, NY",36061
9,16,2.06,Post Offices,"Adams County, IN",18001
9,25,2.06,Post Offices,"Henry County, IL",17073
8,30,2.06,Post Offices,"Texas County, MO",29215
16,38,2.06,Post Offices,"Belmont County, OH",39013
17,70,2.06,Post Offices,"Pitkin County, CO",8097
7,11,2.07,Post Offices,"Meigs County, OH",39105
7,18,2.07,Post Offices,"Amite County, MS",28005
7,18,2.07,Post Offices,"Pike County, MS",28113
7,19,2.07,Post Offices,"Carroll County, IL",17015
7,19,2.07,Post Offices,"Whiteside County, IL",17195
7,35,2.07,Post Offices,"Gunnison County, CO",8051
6,11,2.08,Post Offices,"Ozark County, MO",29153
6,13,2.08,Post Offices,"Fulton County, IL",17057
20,252,2.08,Post Offices,"Charles County, MD",24017
20,286,2.08,Post Offices,"Prince George's County, MD",24033
5,11,2.1,Post Offices,"Shelby County, IL",17173
20,179,2.1,Post Offices,"Carroll County, MD",24013
9,14,2.11,Post Offices,"Wells County, IN",18179
4,14,2.13,Post Offices,"Lawrence County, SD",46081
4,16,2.13,Post Offices,"Bingham County, ID",16011
