results,votes,rating,service,countyState,fips
1,13,1,Preschools,"Franklin County, MS",28037
1,13,1,Preschools,"Lincoln County, MS",28085
5,19,1.7,Preschools,"Claiborne County, MS",28021
4,18,1.88,Preschools,"Jefferson County, MS",28063
8,10,2,Preschools,"Allen Parish, LA",22003
10,17,2,Preschools,"Evangeline Parish, LA",22039
8,12,2.06,Preschools,"Craighead County, AR",5031
7,13,2.14,Preschools,"Acadia Parish, LA",22001
7,13,2.14,Preschools,"Lafayette Parish, LA",22055
7,13,2.14,Preschools,"St. Landry Parish, LA",22097
7,13,2.14,Preschools,"Vermilion Parish, LA",22113
17,30,2.15,Preschools,"Taliaferro County, GA",13265
11,17,2.18,Preschools,"Clarke County, GA",13059
17,31,2.18,Preschools,"Wilkes County, GA",13317
7,14,2.21,Preschools,"Seminole County, OK",40133
2,33,2.25,Preschools,"Erie County, PA",42049
14,20,2.25,Preschools,"Coke County, TX",48081
16,30,2.25,Preschools,"Warren County, GA",13301
11,13,2.27,Preschools,"Sussex County, DE",10005
9,12,2.28,Preschools,"Hardy County, WV",54031
8,27,2.38,Preschools,"Tattnall County, GA",13267
12,15,2.38,Preschools,"Morgan County, OH",39115
13,24,2.38,Preschools,"Burke County, GA",13033
13,24,2.38,Preschools,"Columbia County, GA",13073
13,24,2.38,Preschools,"Lincoln County, GA",13181
13,24,2.38,Preschools,"McDuffie County, GA",13189
13,24,2.38,Preschools,"Richmond County, GA",13245
14,17,2.39,Preschools,"Pope County, AR",5115
5,10,2.4,Preschools,"Norton, VA",51720
5,10,2.4,Preschools,"Russell County, VA",51167
5,10,2.4,Preschools,"Scott County, VA",51169
10,20,2.4,Preschools,"Dade County, GA",13083
12,17,2.42,Preschools,"Gregg County, TX",48183
12,17,2.42,Preschools,"Upshur County, TX",48459
20,26,2.42,Preschools,"Tuscarawas County, OH",39157
7,12,2.43,Preschools,"Tippah County, MS",28139
15,21,2.43,Preschools,"Runnels County, TX",48399
8,11,2.44,Preschools,"Mineral County, WV",54057
10,14,2.45,Preschools,"Sullivan County, PA",42113
11,16,2.45,Preschools,"Rusk County, TX",48401
11,19,2.45,Preschools,"Susquehanna County, PA",42115
11,30,2.45,Preschools,"Copiah County, MS",28029
11,30,2.45,Preschools,"Hinds County, MS",28049
11,30,2.45,Preschools,"Madison County, MS",28089
11,30,2.45,Preschools,"Warren County, MS",28149
16,19,2.47,Preschools,"Garland County, AR",5051
5,12,2.5,Preschools,"Screven County, GA",13251
7,10,2.5,Preschools,"Cherokee County, TX",48073
