state,rating,votes
CT,3.63,4273
MT,3.69,1850
GA,3.7,71431
OK,3.71,23321
OH,3.71,40199
TX,3.72,129174
RI,3.73,3738
NY,3.74,72675
NV,3.75,5414
CA,3.75,144743
MA,3.76,19090
FL,3.77,54709
DE,3.77,1549
NC,3.79,65428
PA,3.8,34525
AZ,3.8,14264
KS,3.82,13386
MO,3.82,34942
NJ,3.83,36034
ID,3.83,8229
VA,3.84,106517
MN,3.84,17018
SC,3.85,27584
AL,3.86,19752
CO,3.87,43182
NM,3.88,8076
IL,3.88,56906
NH,3.89,4488
MD,3.89,43439
NE,3.9,8572
SD,3.9,4018
WA,3.91,36998
TN,3.91,52263
MI,3.91,33203
OR,3.92,23688
IA,3.93,16842
AR,3.97,29845
KY,3.99,57692
IN,3.99,51783
WV,4.01,20088
DC,4.05,7450
MS,4.05,26470
LA,4.07,34434
UT,4.08,12726
WI,4.09,27555
VT,4.1,8853
WY,4.12,1782
HI,4.15,9324
ME,4.21,4237
