results,reviews,rating,service,countyState,fips
50,358,4.66,shopping,"Clay County, NC",37043
50,955,4.61,shopping,"Sonoma County, CA",6097
5,47,4.6,shopping,"Catron County, NM",35003
50,381,4.6,shopping,"Park County, CO",8093
50,245,4.59,shopping,"Taos County, NM",35055
50,341,4.58,shopping,"Addison County, VT",50001
50,159,4.56,shopping,"San Miguel County, CO",8113
50,182,4.56,shopping,"Fremont County, CO",8043
50,653,4.56,shopping,"Floyd County, IN",18043
50,767,4.56,shopping,"Buncombe County, NC",37021
21,38,4.55,shopping,"Wallowa County, OR",41063
50,503,4.53,shopping,"Calaveras County, CA",6009
50,596,4.53,shopping,"Alpine County, CA",6003
50,241,4.51,shopping,"Mora County, NM",35033
50,1398,4.51,shopping,"Santa Cruz County, CA",6087
4,14,4.5,shopping,"Wheatland County, MT",30107
4,21,4.5,shopping,"Blaine County, NE",31009
50,162,4.5,shopping,"Hinsdale County, CO",8053
50,598,4.5,shopping,"Santa Fe County, NM",35049
50,1158,4.5,shopping,"Essex County, MA",25009
50,1317,4.5,shopping,"Placer County, CA",6061
50,161,4.49,shopping,"Mineral County, CO",8079
50,186,4.49,shopping,"Dolores County, CO",8033
50,255,4.49,shopping,"Pitkin County, CO",8097
50,331,4.49,shopping,"Jefferson County, WA",53031
50,401,4.49,shopping,"Summit County, CO",8117
50,205,4.48,shopping,"Stokes County, NC",37169
50,206,4.48,shopping,"Lewis County, TN",47101
50,317,4.48,shopping,"Greenville County, SC",45045
50,1930,4.48,shopping,"Santa Barbara County, CA",6083
50,291,4.47,shopping,"Greene County, MO",29077
50,548,4.47,shopping,"Douglas County, NV",32005
50,727,4.47,shopping,"Amador County, CA",6005
50,1101,4.47,shopping,"Marin County, CA",6041
50,142,4.46,shopping,"Allamakee County, IA",19005
50,145,4.46,shopping,"Cass County, MN",27021
50,155,4.46,shopping,"Grant County, WI",55043
50,198,4.46,shopping,"Leelanau County, MI",26089
50,326,4.46,shopping,"Essex County, NY",36031
50,351,4.46,shopping,"Lake County, CO",8065
50,354,4.46,shopping,"Towns County, GA",13281
50,395,4.46,shopping,"Lafayette County, WI",55065
50,423,4.46,shopping,"Newport County, RI",44005
50,440,4.46,shopping,"Graham County, NC",37075
50,536,4.46,shopping,"Madera County, CA",6039
50,821,4.46,shopping,"Jefferson County, KY",21111
50,3368,4.46,shopping,"San Francisco County, CA",6075
50,199,4.45,shopping,"Benzie County, MI",26019
50,237,4.45,shopping,"Lee County, TX",48287
50,289,4.45,shopping,"Chaffee County, CO",8015
50,359,4.45,shopping,"Avery County, NC",37011
50,396,4.45,shopping,"Williamson County, TN",47187
50,481,4.45,shopping,"Lincoln County, OR",41041
50,1312,4.45,shopping,"Pinellas County, FL",12103
50,2050,4.45,shopping,"Dallas County, TX",48113
50,264,4.44,shopping,"Lincoln County, ME",23015
50,337,4.44,shopping,"Washington County, AR",5143
50,339,4.44,shopping,"Osage County, OK",40113
50,363,4.44,shopping,"New Hanover County, NC",37129
50,470,4.44,shopping,"Barnstable County, MA",25001
50,1068,4.44,shopping,"Ulster County, NY",36111
50,181,4.43,shopping,"Amherst County, VA",51009
50,212,4.43,shopping,"Caroline County, MD",24011
50,319,4.43,shopping,"Washington County, IA",19183
50,324,4.43,shopping,"Guilford County, NC",37081
50,550,4.43,shopping,"Madison County, NC",37115
50,843,4.43,shopping,"Charleston County, SC",45019
50,864,4.43,shopping,"San Luis Obispo County, CA",6079
50,1217,4.43,shopping,"Fairfield County, CT",9001
50,1905,4.43,shopping,"Orleans Parish, LA",22071
6,21,4.42,shopping,"Musselshell County, MT",30065
50,821,4.42,shopping,"Jefferson County, KS",20087
50,1960,4.42,shopping,"Denver County, CO",8031
50,123,4.41,shopping,"Winneshiek County, IA",19191
50,358,4.41,shopping,"Jackson County, NC",37099
50,402,4.41,shopping,"Flathead County, MT",30029
50,410,4.41,shopping,"Deschutes County, OR",41017
50,506,4.41,shopping,"Lane County, OR",41039
50,512,4.41,shopping,"Logan County, OK",40083
50,515,4.41,shopping,"Windham County, VT",50025
50,542,4.41,shopping,"Dare County, NC",37055
50,692,4.41,shopping,"Blanco County, TX",48031
50,717,4.41,shopping,"Oklahoma County, OK",40109
50,1021,4.41,shopping,"Kauai County, HI",15007
50,1480,4.41,shopping,"Philadelphia County, PA",42101
50,237,4.4,shopping,"Dorchester County, MD",24019
50,273,4.4,shopping,"Essex County, VT",50009
50,304,4.4,shopping,"Kootenai County, ID",16055
50,309,4.4,shopping,"Greene County, NY",36039
50,324,4.4,shopping,"Madison County, AR",5087
50,328,4.4,shopping,"Missoula County, MT",30063
50,329,4.4,shopping,"East Baton Rouge Parish, LA",22033
50,351,4.4,shopping,"Pender County, NC",37141
50,375,4.4,shopping,"Clallam County, WA",53009
50,677,4.4,shopping,"St. Louis County, MO",29189
50,1071,4.4,shopping,"San Benito County, CA",6069
50,273,4.39,shopping,"Columbia County, NY",36021
50,284,4.39,shopping,"Berkshire County, MA",25003
50,294,4.39,shopping,"Pickens County, GA",13227
50,311,4.39,shopping,"Mitchell County, NC",37121
50,421,4.39,shopping,"Clatsop County, OR",41007
50,529,4.39,shopping,"Hays County, TX",48209
50,555,4.39,shopping,"Caldwell County, TX",48055
50,643,4.39,shopping,"Lee County, FL",12071
50,829,4.39,shopping,"Manatee County, FL",12081
50,911,4.39,shopping,"St. Louis, MO",29510
50,1774,4.39,shopping,"Riverside County, CA",6065
17,63,4.38,shopping,"Kalawao County, HI",15005
50,145,4.38,shopping,"Montrose County, CO",8085
50,147,4.38,shopping,"Iron County, WI",55051
50,158,4.38,shopping,"McCulloch County, TX",48307
50,190,4.38,shopping,"Antrim County, MI",26009
50,232,4.38,shopping,"Rockingham County, VA",51165
50,241,4.38,shopping,"Charlevoix County, MI",26029
50,297,4.38,shopping,"Park County, MT",30067
50,308,4.38,shopping,"Louisa County, IA",19115
50,356,4.38,shopping,"Fayette County, TN",47047
50,572,4.38,shopping,"Spokane County, WA",53063
50,600,4.38,shopping,"Nevada County, CA",6057
50,141,4.37,shopping,"Gogebic County, MI",26053
31,147,4.37,shopping,"Cook County, MN",27031
50,197,4.37,shopping,"Manistee County, MI",26101
50,258,4.37,shopping,"Rappahannock County, VA",51157
50,264,4.37,shopping,"Waldo County, ME",23027
50,280,4.37,shopping,"Knox County, ME",23013
50,315,4.37,shopping,"West Baton Rouge Parish, LA",22121
50,430,4.37,shopping,"Mills County, IA",19129
50,442,4.37,shopping,"Beaufort County, SC",45013
50,499,4.37,shopping,"Lincoln County, OK",40081
50,520,4.37,shopping,"Franklin County, MA",25011
50,215,4.36,shopping,"Houston County, TN",47083
50,232,4.36,shopping,"Holmes County, OH",39075
50,293,4.36,shopping,"Jackson County, IA",19097
50,366,4.36,shopping,"Teller County, CO",8119
50,403,4.36,shopping,"Kent County, MI",26081
50,565,4.36,shopping,"Gloucester County, VA",51073
50,580,4.36,shopping,"Kingfisher County, OK",40073
50,650,4.36,shopping,"Skamania County, WA",53059
50,794,4.36,shopping,"Wayne County, MI",26163
